rank,race_number,name,category,tt_pos_in_category,fastest_time,fastest_seconds
1,59,Jay Kenward,Open,,02:40.453,160.453
2,23,Dan Turner,Open,,02:52.310,172.31
3,45,Henry Livingstone Dunn,Groms,,03:00.877,180.877
4,105,Sebastian Cusick,Open,,03:02.913,182.913
5,26,Darren Attew,Open,,03:04.007,184.007
6,44,Henry Bisping,Groms,,03:05.083,185.083
7,101,Radim Klaüka,Open,,03:05.487,185.487
8,39,Gerard Rincon,Open,,03:10.880,190.88
9,82,Max Lee,Open,,03:13.267,193.267
10,29,Joselito Dendoncker,Open,,03:14.050,194.05
11,62,Joel Jones,Open,,03:16.327,196.327
12,113,Vid Gladovic,Open,,03:19.283,199.283
13,117,Zack Mcfarlane,Groms,,03:22.657,202.657
14,36,Fabio Costa,Open,,03:23.920,203.92
15,33,Eduardo Queralto,Open,,03:24.033,204.033
16,89,Noah Gamon,Groms,,03:24.213,204.213
17,81,Max Cramer,Open,,03:25.507,205.507
18,114,Vinnie Verhoegstraete,Open,,03:25.713,205.713
19,88,Nico Stuart,Open,,03:30.607,210.607
20,54,James Grant,Open,,03:31.180,211.18
21,107,Simon Oppenheimer,Open,,03:32.883,212.883
22,3,Clint Lashley,Open,,03:33.157,213.157
23,48,Indiana Mcfarlane,Groms,,03:34.160,214.16
24,1,Adam Freeman,Open,,03:34.557,214.557
25,120,Dustin Refazo,Open,,03:35.310,215.31
26,61,Jessica Jones,Women,,03:35.430,215.43
27,72,Louis Lovelace,Open,,03:35.637,215.637
28,87,Nick Oppenheimer,Open,,03:37.403,217.403
29,30,Duncan Beattie,Open,,03:37.620,217.62
30,68,Lars Vloemans,Open,,03:37.733,217.733
31,27,Darren Stevenson,Open,,03:38.550,218.55
32,102,Sam O'connell,Open,,03:42.157,222.157
33,42,Harley Moss,Open,,03:43.017,223.017
34,5,Alicia Hemmings,Women,,03:43.527,223.527
35,12,Barbara Tokarska,Women,,03:45.890,225.89
36,92,Patrick Lopez,Open,,03:47.110,227.11
37,53,James Frampton,Open,,03:47.383,227.383
38,90,Nico Christensen,Open,,03:48.073,228.073
39,10,Andy Thompson,Open,,03:48.337,228.337
40,57,James Walker,Open,,03:51.190,231.19
41,56,James Pitcher,Open,,03:53.080,233.08
42,65,Kate Paxton,Women,,03:53.557,233.557
43,63,Jonas Andersen,Open,,03:53.963,233.963
44,16,Chantelle Warner-Wells,Women,,03:55.827,235.827
45,75,Mark Coningsby,Open,,03:56.143,236.143
46,77,Martin Schlangen,Open,,03:56.360,236.36
47,25,Daniel Parker,Open,,03:56.653,236.653
48,109,Thomas Astbury,Open,,03:57.313,237.313
49,100,Quirine Posno,Women,,03:57.313,237.313
50,51,Jacob Jones,Open,,03:58.397,238.397
51,31,Ed Penny,Open,,03:58.877,238.877
52,9,Andy Lakin,Open,,04:00.430,240.43
53,55,George Ellwood,Open,,04:08.297,248.297
54,2,Adam Walding,Open,,04:09.580,249.58
55,84,Nadine Tunnicliffe,Women,,04:10.040,250.04
56,83,Maximus Mcfarlane,Groms,,04:10.057,250.057
57,79,Matthew Coningsby,Groms,,04:10.437,250.437
58,43,Heather Adams,Women,,04:10.697,250.697
59,24,Daniel Coningsby,Groms,,04:13.427,253.427
60,11,Jonny Glenister,Open,,04:15.083,255.083
61,112,Travis Wilson,Open,,04:15.667,255.667
62,95,Paul Webb,Open,,04:15.927,255.927
63,41,Hannes Christ,Open,,04:16.580,256.58
64,93,Paul Burgess,Open,,04:17.500,257.5
65,14,Brooke Rhodes,Women,,04:18.627,258.627
66,76,Martin Dinnage,Open,,04:20.320,260.32
67,70,Lia Rhae,Women,,04:24.013,264.013
68,64,Josh Oppenheimer,Open,,04:25.627,265.627
69,13,Ben Crundwell,Open,,04:26.227,266.227
70,80,Matthew Eaton,Open,,04:27.860,267.86
71,85,Neil Collins,Open,,04:35.210,275.21
72,73,Luke Massey,Open,,04:38.240,278.24
73,118,Zak Moss,Groms,,04:38.593,278.593
74,49,Jack Freeman,Open,,04:38.740,278.74
75,111,Tom Vloemans,Open,,04:38.810,278.81
76,115,Wayne Stewart,Open,,04:40.947,280.947
77,94,Paul Lambert,Open,,04:41.373,281.373
78,20,Chris Wallis,Open,,04:46.267,286.267
79,58,Jay Bucci,Groms,,04:47.113,287.113
80,71,Lilly-May Wallis,Groms,,04:49.357,289.357
81,78,Martin Thomas,Open,,04:51.257,291.257
82,8,Andrew Norris,Open,,04:53.430,293.43
83,37,Gary Bucci,Open,,04:58.113,298.113
84,38,Gary Elford,Open,,05:04.700,304.7
85,7,Jay Goss,Open,,05:10.247,310.247
86,52,James Allen,Open,,05:11.527,311.527
87,4,Alex Campbell,Open,,05:12.697,312.697
88,103,Sara Tschersich,Women,,05:13.527,313.527
89,98,Poppy Burgess,Groms,,05:18.117,318.117
90,104,Sara Visaggio,Women,,05:32.493,332.493
91,116,Willow Wilson,Groms,,05:56.047,356.047
92,119,Ruby-Luna Queralto,Groms,,06:53.540,413.54
93,32,Elias Cusick,Groms,,07:01.310,421.31
94,21,Coby Webb,Groms,,07:07.757,427.757
